序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,INOUT,Axis,_sMCAXIS_INFO,,,,轴句柄,
2,IN,PowerEnable,BOOL,,FALSE,,轴使能,
3,IN,Stop,BOOL,,FALSE,,轴停止,
4,IN,Reset,BOOL,,FALSE,,故障复位,
5,IN,Home,BOOL,,FALSE,,回零启动,
6,IN,JogForward,BOOL,,FALSE,,正向点动,
7,IN,JogBackward,BOOL,,FALSE,,反向点动,
8,IN,Jogvelocity,REAL,,0.0,,点动速度,
9,IN,JogAcceleration,REAL,,0.0,,点动加速度,
10,IN,JogDeceleration,REAL,,0.0,,点动减速度,
11,IN,Absolute_Execute,BOOL,,FALSE,,绝对定位启动,
12,IN,Absolute_Position,REAL,,0.0,,目标位置,
13,IN,Absolute_Velocity,REAL,,0.0,,定位速度,
14,IN,Absolute_Acceleration,REAL,,0.0,,定位加速度,
15,IN,Absolute_Deceleration,REAL,,0.0,,定位减速度,
16,OUT,AxisStatusData,AxisStatusData,,,,轴状态结构,
17,OUT,Absolute_MoveAbsoluteDone,BOOL,,FALSE,,绝对定位完成,
18,VAR,fb_Power,MC_Power,,,,使能功能块,
19,VAR,fb_Reset,MC_Reset,,,,复位功能块,
20,VAR,fb_Stop,MC_Stop,,,,停止功能块,
21,VAR,fb_Home,MC_Home,,,,回零功能块,
22,VAR,fb_Jog,MC_JOG,,,,点动功能块,
23,VAR,fb_MoveAbsolute,MC_MoveAbsolute,,,,绝对定位功能块,
24,VAR,fb_ReadStatus,MC_ReadStatus,,,,读轴状态功能块,
25,VAR,fb_ReadAxisError,MC_ReadAxisError,,,,读轴故障功能块,
26,VAR,r_HomeStart,TRIG.R_TRIG,,FALSE,,回零启动边沿,
27,VAR,r_HomeDone,TRIG.R_TRIG,,FALSE,,回零完成边沿,
28,VAR,bErrorStop,BOOL,,FALSE,,错误停止状态,
29,VAR,bDisabled,BOOL,,FALSE,,轴断使能状态,
30,VAR,bStopping,BOOL,,FALSE,,停止中状态,
31,VAR,bStandStill,BOOL,,FALSE,,静止状态,
32,VAR,bDiscreteMotion,BOOL,,FALSE,,离散运动状态,
33,VAR,bContinuousMotion,BOOL,,FALSE,,连续运动状态,
34,VAR,bSyncMotion,BOOL,,FALSE,,同步运动状态,
35,VAR,bHoming,BOOL,,FALSE,,回零中状态,
