序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,ManForward,BOOL,,FALSE,,手动正向,
2,IN,ManBackward,BOOL,,FALSE,,手动反向,
3,IN,AutoForward,BOOL,,FALSE,,自动正向,
4,IN,AutoBackward,BOOL,,FALSE,,自动反向,
5,IN,Reset,BOOL,,FALSE,,故障复位,
6,IN,Stop,BOOL,,FALSE,,停止,
7,IN,Enable,BOOL,,FALSE,,运行许可,
8,OUT,Forward,BOOL,,FALSE,,正向输出,
9,OUT,Backward,BOOL,,FALSE,,反向输出,
10,OUT,Busy,BOOL,,FALSE,,运行中,
11,OUT,Done,BOOL,,FALSE,,完成,
12,OUT,Error,BOOL,,FALSE,,故障,
13,VAR,bForward,BOOL,,FALSE,,正向状态,
14,VAR,bBackward,BOOL,,FALSE,,反向状态,
15,VAR,bError,BOOL,,FALSE,,故障状态,
