序号,成员变量名,数据类型,注释,
1,Power,ST_AxisPower,使能状态子结构,
2,Stop,ST_MC_Status,停止状态子结构,
3,Reset,ST_MC_Status,复位状态子结构,
4,Home,ST_MC_Status,回零状态子结构,
5,Jog,ST_MC_Status,点动状态子结构,
6,MoveAbsolute,ST_MC_Status,绝对定位状态子结构,
7,MoveRelative,ST_MC_Status,相对定位状态子结构,
8,MoveVelocity,ST_MC_Status,速度模式状态子结构,
9,Halt,ST_MC_Status,暂停状态子结构,
10,Position,REAL,实际位置,
11,Velocity,REAL,实际速度,
12,Torque,REAL,实际转矩,
13,AxisState,DINT,轴状态机(0断/1错误停/2停止中/3静止/4离散运动/5连续运动/6同步/7回零),
14,Error,BOOL,轴故障,
15,AxisErrorID,DINT,轴故障码,
16,ReturnHomeDone,BOOL,回零完成,
17,PowerStatus,BOOL,使能状态,
18,LimitPos,BOOL,正向限位,
19,LimitNeg,BOOL,负向限位,
