序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,FILTER_TIME_MATERIAL,DINT,,20,保持,,物料检测滤波时间(ms),,
2,FILTER_TIME_LIMIT,DINT,,20,保持,,限位滤波时间(ms),,
3,TIMEOUT_AXIS_MOVE,DINT,,5000,保持,,定位超时(ms),,
4,TIMEOUT_CMD_HANDSHAKE,DINT,,5000,保持,,命令握手超时(ms),,
5,TIMEOUT_STEPPER,DINT,,3000,保持,,步进动作超时(ms),,
6,WATCHDOG_TIMEOUT,DINT,,3000,保持,,通讯看门狗超时(ms),,
7,ROLLER_SPEED_LOW,INT,,50,保持,,辊筒低速档(%),,
8,ROLLER_SPEED_MID,INT,,75,保持,,辊筒中速档(%),,
9,ROLLER_SPEED_HIGH,INT,,100,保持,,辊筒高速档(%),,
10,AXIS_JOG_VELOCITY,REAL,,10.0,保持,,点动速度(mm/s),,
11,AXIS_JOG_ACC,REAL,,50.0,保持,,点动加速度(mm/s2),,
12,AXIS_JOG_DEC,REAL,,50.0,保持,,点动减速度(mm/s2),,
13,AXIS_HOME_VELOCITY,REAL,,5.0,保持,,回零速度(mm/s),,
14,AXIS_MOVE_ACC,REAL,,100.0,保持,,定位加速度(mm/s2),,
15,AXIS_MOVE_DEC,REAL,,100.0,保持,,定位减速度(mm/s2),,
16,ERRID_ESTOP,DINT,,16#00000001,保持,,急停故障位,,
17,ERRID_AXIS1,DINT,,16#00000002,保持,,轴1故障位,,
18,ERRID_AXIS2,DINT,,16#00000004,保持,,轴2故障位,,
19,ERRID_AXIS3,DINT,,16#00000008,保持,,轴3故障位,,
20,ERRID_AXIS4,DINT,,16#00000010,保持,,轴4故障位,,
21,ERRID_COMM,DINT,,16#00000020,保持,,通讯故障位,,
22,ERRID_TIMEOUT,DINT,,16#00000040,保持,,超时故障位,,
