序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,ManFwd,BOOL,,,,手动正转,
2,IN,ManRev,BOOL,,,,手动反转,
3,IN,AutoFwd,BOOL,,,,自动正转(锁存后),
4,IN,AutoRev,BOOL,,,,自动反转(锁存后),
5,IN,Enable,BOOL,,,,安全许可,
6,IN,Fault,BOOL,,,,步进故障输入,
7,IN,Reset,BOOL,,,,复位(上升沿),
8,IN,Stop,BOOL,,,,停止(急停联动),
9,IN,LimitFwd,BOOL,,,,正向限位(常闭0=触发),
10,IN,LimitRev,BOOL,,,,反向限位(常闭0=触发),
11,OUT,OutPath1,BOOL,,,,路径1输出(正转),
12,OUT,OutPath2,BOOL,,,,路径2输出(反转),
13,OUT,OutReset,BOOL,,,,复位输出,
14,OUT,OutStop,BOOL,,,,停止输出,
15,VAR,Reset_Trig,TRIG.R_TRIG,,,,复位上升沿检测,
16,VAR,Fault_Latch,BOOL,,,,故障锁存,
