序号,成员变量名,数据类型,注释,
1,PowerEnable,BOOL,轴使能,
2,Stop,BOOL,"轴停止(立即,最高优先级)",
3,Reset,BOOL,故障复位(上升沿),
4,Home,BOOL,回零启动(上升沿),
5,JogForward,BOOL,正向点动,
6,JogBackward,BOOL,反向点动,
7,JogVelocity,REAL,点动速度,
8,JogAcceleration,REAL,点动加速度,
9,JogDeceleration,REAL,点动减速度,
10,Absolute_Execute,BOOL,绝对定位启动,
11,Absolute_Position,REAL,目标位置(查表得出),
12,Absolute_Velocity,REAL,定位速度,
13,Absolute_Acceleration,REAL,定位加速度,
14,Absolute_Deceleration,REAL,定位减速度,
15,CmdLatched,BOOL,命令已锁存,
16,CmdDone,BOOL,命令完成,
17,CmdTimeout,BOOL,命令超时,
18,CmdAborted,BOOL,命令中止,
