序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,in_Auto,BOOL,,,,,自动模式中间量(未AND con_RunOK),D2000,
2,in_Manual,BOOL,,,,,手动模式中间量(未AND con_RunOK),D2001,
3,con_EstopPressed,BOOL,,,,,急停触发标志(常闭取反),D2002,
4,con_Heart_Counter,INT,,,,,心跳上周期值(通讯看门狗),D2003,
5,con_CommLost,BOOL,,,,,通讯丢失标志,D2004,
6,con_ErrorID,DINT,,,,,故障位编码(bit0~bit9),D2005,
7,con_ErrorBit,BOOL,,,,,总故障位,D2006,
8,con_RunOK,BOOL,,,,,"运行许可(急停OK且无故障且通讯正常)",D2007,
9,con_AllHomed,BOOL,,,,,4轴回零完成汇总,D2008,
10,con_ManualEnable,BOOL,,,,,手动模式使能(带安全联锁),D2009,
11,con_AutoEnable,BOOL,,,,,自动模式使能(带安全联锁且回零完成),D2010,
12,con_ModeChanged,BOOL,,,,,模式切换检测,D2011,
13,con_Mode_Prev,BOOL,,,,,模式上周期值,D2012,
14,con_RollerFwd_Manual,BOOL,,,,,电辊筒手动正转命令,D2013,
15,con_RollerRev_Manual,BOOL,,,,,电辊筒手动反转命令,D2014,
16,con_RollerRun_Auto,BOOL,,,,,电辊筒自动运行命令(电平),D2015,
17,con_RollerDir_Auto,BOOL,,,,,电辊筒自动方向命令,D2016,
18,con_RollerRun_Total,BOOL,,,,,电辊筒总运行(手动OR自动),D2017,
19,con_RollerDir_Total,BOOL,,,,,电辊筒总方向,D2018,
20,con_RollerSpeed_Total,INT,,,,,电辊筒总速度档,D2019,
21,con_TimeoutAlarm,BOOL,,,,,动作超时报警(由SBR_06检测, SBR_03锁存),D2020,
22,con_Scan_Step,INT,,,,,主调度扫描步骤监视,D2021,
