序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,hmi_Rest,BOOL,,,,,HMI-复位按钮,S200,
2,hmi_Mode,BOOL,,,,,HMI-模式选择(TRUE自动/FALSE手动),S201,
3,hmi_Manual_Cross_FWD,BOOL,,,,,HMI-手动M1横移正转,S202,
4,hmi_Manual_Cross_REV,BOOL,,,,,HMI-手动M1横移反转,S203,
5,hmi_Manual_Rot_FWD,BOOL,,,,,HMI-手动M2旋转正转,S204,
6,hmi_Manual_Rot_REV,BOOL,,,,,HMI-手动M2旋转反转,S205,
7,hmi_Manual_Lift_FWD,BOOL,,,,,HMI-手动M3提升正转,S206,
8,hmi_Manual_Lift_REV,BOOL,,,,,HMI-手动M3提升反转,S207,
9,hmi_Manual_Center_FWD,BOOL,,,,,HMI-手动M4对中正转,S208,
10,hmi_Manual_Center_REV,BOOL,,,,,HMI-手动M4对中反转,S209,
11,hmi_Manual_Grip_FWD,BOOL,,,,,HMI-手动夹爪正转(夹紧),S210,
12,hmi_Manual_Grip_REV,BOOL,,,,,HMI-手动夹爪反转(松开),S211,
13,hmi_Manual_LBlock_FWD,BOOL,,,,,HMI-手动左阻挡正转(上升),S212,
14,hmi_Manual_LBlock_REV,BOOL,,,,,HMI-手动左阻挡反转(下降),S213,
15,hmi_Manual_RBlock_FWD,BOOL,,,,,HMI-手动右阻挡正转(上升),S214,
16,hmi_Manual_RBlock_REV,BOOL,,,,,HMI-手动右阻挡反转(下降),S215,
17,hmi_Manual_Roller_FWD,BOOL,,,,,HMI-手动电辊筒正转,S216,
18,hmi_Manual_Roller_REV,BOOL,,,,,HMI-手动电辊筒反转,S217,
19,hmi_Home_Cross,BOOL,,,,,HMI-M1横移回零按钮,S218,
20,hmi_Home_Rot,BOOL,,,,,HMI-M2旋转回零按钮,S219,
21,hmi_Home_Lift,BOOL,,,,,HMI-M3提升回零按钮,S220,
22,hmi_Home_Center,BOOL,,,,,HMI-M4对中回零按钮,S221,
23,hmi_Cross_AutoSpd,REAL,,,,,HMI-M1横移自动定位速度,D1000,
24,hmi_Rot_AutoSpd,REAL,,,,,HMI-M2旋转自动定位速度,D1001,
25,hmi_Lift_AutoSpd,REAL,,,,,HMI-M3提升自动定位速度,D1002,
26,hmi_Center_AutoSpd,REAL,,,,,HMI-M4对中自动定位速度,D1003,
27,hmi_Cross_ManSpd,REAL,,,,,HMI-M1横移手动点动速度,D1004,
28,hmi_Rot_ManSpd,REAL,,,,,HMI-M2旋转手动点动速度,D1005,
29,hmi_Lift_ManSpd,REAL,,,,,HMI-M3提升手动点动速度,D1006,
30,hmi_Center_ManSpd,REAL,,,,,HMI-M4对中手动点动速度,D1007,
31,hmi_Pos_Cross,REAL[16],,,,,HMI-M1横移位置表(1..16),D1008,
32,hmi_Pos_Rot,REAL[16],,,,,HMI-M2旋转位置表(1..16),D1009,
33,hmi_Pos_Lift,REAL[16],,,,,HMI-M3提升位置表(1..16),D1010,
34,hmi_Pos_Center,REAL[16],,,,,HMI-M4对中位置表(1..16),D1011,
35,hmi_Roller_SpeedSet,INT,,,,,HMI-电辊筒速度档(0低/1中/2高),D1012,
