序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,host_Send_Cross_PosNo,INT,,,,,上位机-M1横移目标位置号,D0,
2,host_Send_Cross_Start,INT,,,,,上位机-M1横移定位启动命令(1=启动),D1,
3,host_Send_Rot_PosNo,INT,,,,,上位机-M2旋转目标位置号,D2,
4,host_Send_Rot_Start,INT,,,,,上位机-M2旋转定位启动命令(1=启动),D3,
5,host_Send_Lift_PosNo,INT,,,,,上位机-M3提升目标位置号,D4,
6,host_Send_Lift_Start,INT,,,,,上位机-M3提升定位启动命令(1=启动),D5,
7,host_Send_Center_PosNo,INT,,,,,上位机-M4对中目标位置号,D6,
8,host_Send_Center_Start,INT,,,,,上位机-M4对中定位启动命令(1=启动),D7,
9,host_Send_Gripper_Fwd,INT,,,,,上位机-夹爪夹紧命令(正转),D8,
10,host_Send_Gripper_Rev,INT,,,,,上位机-夹爪松开命令(反转),D9,
11,host_Send_LBlock_Up,INT,,,,,上位机-左阻挡上升命令(正转),D10,
12,host_Send_LBlock_Down,INT,,,,,上位机-左阻挡下降命令(反转),D11,
13,host_Send_RBlock_Up,INT,,,,,上位机-右阻挡上升命令(正转),D12,
14,host_Send_RBlock_Down,INT,,,,,上位机-右阻挡下降命令(反转),D13,
15,host_Send_Roller_Fwd,INT,,,,,上位机-电辊筒正转命令,D14,
16,host_Send_Roller_Rev,INT,,,,,上位机-电辊筒反转命令,D15,
17,host_Rcv_Heart,INT,,,,,上位机-心跳计数(通讯监测),D16,
18,host_Rcv_Alarm,INT,,,,,上位机-报警反馈(0/1),D17,
19,host_Rcv_Mode,INT,,,,,上位机-自动模式反馈(0/1),D18,
20,host_Rcv_Cross_StateMachine,INT,,,,,上位机-M1横移状态机反馈,D19,
21,host_Rcv_Rot_StateMachine,INT,,,,,上位机-M2旋转状态机反馈,D20,
22,host_Rcv_Lift_StateMachine,INT,,,,,上位机-M3提升状态机反馈,D21,
23,host_Rcv_Center_StateMachine,INT,,,,,上位机-M4对中状态机反馈,D22,
24,host_Rcv_Cross_Position,REAL,,,,,上位机-M1横移实际位置反馈,D23,
25,host_Rcv_Rot_Position,REAL,,,,,上位机-M2旋转实际位置反馈,D24,
26,host_Rcv_Lift_Position,REAL,,,,,上位机-M3提升实际位置反馈,D25,
27,host_Rcv_Center_Position,REAL,,,,,上位机-M4对中实际位置反馈,D26,
28,host_Rcv_Cross_MoveDone,INT,,,,,上位机-M1横移定位完成反馈,D27,
29,host_Rcv_Rot_MoveDone,INT,,,,,上位机-M2旋转定位完成反馈,D28,
30,host_Rcv_Lift_MoveDone,INT,,,,,上位机-M3提升定位完成反馈,D29,
31,host_Rcv_Center_MoveDone,INT,,,,,上位机-M4对中定位完成反馈,D30,
32,host_Rcv_L_Far_Out_Sensor,INT,,,,,上位机-左侧远端出口物料状态,D31,
33,host_Rcv_L_Far_In_Sensor,INT,,,,,上位机-左侧远端入口物料状态,D32,
34,host_Rcv_L_Near_Sensor,INT,,,,,上位机-左侧近端物料状态,D33,
35,host_Rcv_R_Far_Out_Sensor,INT,,,,,上位机-右侧远端出口物料状态,D34,
36,host_Rcv_R_Far_In_Sensor,INT,,,,,上位机-右侧远端入口物料状态,D35,
37,host_Rcv_R_Near_Sensor,INT,,,,,上位机-右侧近端物料状态,D36,
38,host_Rcv_Cross_LimitPos,INT,,,,,上位机-M1横移正向限位状态,D37,
39,host_Rcv_Cross_LimitNeg,INT,,,,,上位机-M1横移反向限位状态,D38,
40,host_Rcv_Rot_LimitPos,INT,,,,,上位机-M2旋转正向限位状态,D39,
41,host_Rcv_Rot_LimitNeg,INT,,,,,上位机-M2旋转反向限位状态,D40,
42,host_Rcv_Grip_LimitPos,INT,,,,,上位机-夹爪正向限位状态,D41,
43,host_Rcv_Grip_LimitNeg,INT,,,,,上位机-夹爪反向限位状态,D42,
44,host_Rcv_Grip_Sensor,INT,,,,,上位机-夹爪物料状态,D43,
45,host_Rcv_Lift_LimitPos,INT,,,,,上位机-M3提升正向限位状态,D44,
46,host_Rcv_Lift_LimitNeg,INT,,,,,上位机-M3提升反向限位状态,D45,
47,host_Rcv_Center_LimitPos,INT,,,,,上位机-M4对中正向限位状态,D46,
48,host_Rcv_Center_LimitNeg,INT,,,,,上位机-M4对中反向限位状态,D47,
49,host_Rcv_LBlock_LimitPos,INT,,,,,上位机-左阻挡正向限位状态,D48,
50,host_Rcv_LBlock_LimitNeg,INT,,,,,上位机-左阻挡反向限位状态,D49,
51,host_Rcv_RBlock_LimitPos,INT,,,,,上位机-右阻挡正向限位状态,D50,
52,host_Rcv_RBlock_LimitNeg,INT,,,,,上位机-右阻挡反向限位状态,D51,
53,host_Send_Heart,INT,,,,,上位机-发送心跳(PLC存活监测),D52,
