序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,Db_SafetyGate,FB_Debounce,,,,,安全门输入滤波实例,,
2,Db_Gripper_Err,FB_Debounce,,,,,夹爪故障输入滤波实例,,
3,Db_LBlock_Err,FB_Debounce,,,,,左阻挡故障输入滤波实例,,
4,Db_RBlock_Err,FB_Debounce,,,,,右阻挡故障输入滤波实例,,
5,Db_Roller_Err,FB_Debounce,,,,,电辊筒故障输入滤波实例,,
6,Db_L_Far_Out_Sensor,FB_Debounce,,,,,左侧远端出口物料滤波实例,,
7,Db_L_Far_In_Sensor,FB_Debounce,,,,,左侧远端入口物料滤波实例,,
8,Db_L_Near_Sensor,FB_Debounce,,,,,左侧近端物料滤波实例,,
9,Db_R_Far_Out_Sensor,FB_Debounce,,,,,右侧远端出口物料滤波实例,,
10,Db_R_Far_In_Sensor,FB_Debounce,,,,,右侧远端入口物料滤波实例,,
11,Db_R_Near_Sensor,FB_Debounce,,,,,右侧近端物料滤波实例,,
12,Db_Cross_LimitPos,FB_Debounce,,,,,M1横移正向限位滤波实例,,
13,Db_Cross_LimitNeg,FB_Debounce,,,,,M1横移反向限位滤波实例,,
14,Db_Rot_LimitPos,FB_Debounce,,,,,M2旋转正向限位滤波实例,,
15,Db_Rot_LimitNeg,FB_Debounce,,,,,M2旋转反向限位滤波实例,,
16,Db_Grip_LimitPos,FB_Debounce,,,,,夹爪正向限位滤波实例,,
17,Db_Grip_LimitNeg,FB_Debounce,,,,,夹爪反向限位滤波实例,,
18,Db_Grip_Sensor,FB_Debounce,,,,,夹爪物料检测滤波实例,,
19,Db_Lift_LimitPos,FB_Debounce,,,,,M3提升正向限位滤波实例,,
20,Db_Lift_LimitNeg,FB_Debounce,,,,,M3提升反向限位滤波实例,,
21,Db_Center_LimitPos,FB_Debounce,,,,,M4对中正向限位滤波实例,,
22,Db_Center_LimitNeg,FB_Debounce,,,,,M4对中反向限位滤波实例,,
23,Db_LBlock_LimitPos,FB_Debounce,,,,,左阻挡正向限位滤波实例,,
24,Db_LBlock_LimitNeg,FB_Debounce,,,,,左阻挡反向限位滤波实例,,
25,Db_RBlock_LimitPos,FB_Debounce,,,,,右阻挡正向限位滤波实例,,
26,Db_RBlock_LimitNeg,FB_Debounce,,,,,右阻挡反向限位滤波实例,,
27,Rst_Trig,TRIG.R_TRIG,,,,,复位信号上升沿检测实例,,
28,Heart_Trig,TRIG.R_TRIG,,,,,心跳信号上升沿检测实例,,
29,Comm_Timer,TON,,,,,通讯看门狗定时器,,
30,EstopReset_Timer,TON,,,,,急停复位脉冲定时器,,
31,Latch_Estop,FB_AlarmLatch,,,,,急停故障锁存实例,,
32,Latch_Gripper,FB_AlarmLatch,,,,,夹爪步进故障锁存实例,,
33,Latch_LBlock,FB_AlarmLatch,,,,,左阻挡步进故障锁存实例,,
34,Latch_RBlock,FB_AlarmLatch,,,,,右阻挡步进故障锁存实例,,
35,Latch_Axis1,FB_AlarmLatch,,,,,M1伺服故障锁存实例,,
36,Latch_Axis2,FB_AlarmLatch,,,,,M2伺服故障锁存实例,,
37,Latch_Axis3,FB_AlarmLatch,,,,,M3伺服故障锁存实例,,
38,Latch_Axis4,FB_AlarmLatch,,,,,M4伺服故障锁存实例,,
39,Latch_Comm,FB_AlarmLatch,,,,,通讯丢失故障锁存实例,,
40,Latch_Timeout,FB_AlarmLatch,,,,,动作超时故障锁存实例,,
41,TowerLight_FB,FB_TowerLight,,,,,三色灯FB实例,,
41,Handshake_Axis1,FB_CmdHandshake,,,,,M1横移定位命令握手实例,,
42,Handshake_Axis2,FB_CmdHandshake,,,,,M2旋转定位命令握手实例,,
43,Handshake_Axis3,FB_CmdHandshake,,,,,M3提升定位命令握手实例,,
44,Handshake_Axis4,FB_CmdHandshake,,,,,M4对中定位命令握手实例,,
45,TimedAct_GripFwd,FB_TimedAction,,,,,夹爪夹紧定时动作实例,,
46,TimedAct_GripRev,FB_TimedAction,,,,,夹爪松开定时动作实例,,
47,TimedAct_LBlockUp,FB_TimedAction,,,,,左阻挡上升定时动作实例,,
48,TimedAct_LBlockDn,FB_TimedAction,,,,,左阻挡下降定时动作实例,,
49,TimedAct_RBlockUp,FB_TimedAction,,,,,右阻挡上升定时动作实例,,
50,TimedAct_RBlockDn,FB_TimedAction,,,,,右阻挡下降定时动作实例,,
51,StepperDrv_Gripper,FB_StepperDrive,,,,,夹爪步进驱动FB实例,,
52,StepperDrv_LBlock,FB_StepperDrive,,,,,左阻挡步进驱动FB实例,,
53,StepperDrv_RBlock,FB_StepperDrive,,,,,右阻挡步进驱动FB实例,,
54,Roller_FB,FB_Roller,,,,,电辊筒FB实例,,
