序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,in_EStop,BOOL,,,,,"急停输入(常闭,TRUE=释放)",X0,
2,in_SafetyGate,BOOL,,,,,"安全门输入(常闭,滤波20ms)",X1,
3,in_GripperMotor_Err,BOOL,,,,,夹爪步进故障输入,X10,
4,in_LeftBlock_Err,BOOL,,,,,左阻挡步进故障输入,X11,
5,in_RightBlock_Err,BOOL,,,,,右阻挡步进故障输入,X12,
6,in_Roller_Err,BOOL,,,,,电辊筒故障输入,X13,
7,in_L_Far_Out_Sensor,BOOL,,,,,左侧远端出口物料检测,X20,
8,in_L_Far_In_Sensor,BOOL,,,,,左侧远端入口物料检测,X21,
9,in_L_Near_Sensor,BOOL,,,,,左侧近端物料检测,X22,
10,in_R_Far_Out_Sensor,BOOL,,,,,右侧远端出口物料检测,X23,
11,in_R_Far_In_Sensor,BOOL,,,,,右侧远端入口物料检测,X24,
12,in_R_Near_Sensor,BOOL,,,,,右侧近端物料检测,X25,
13,in_Cross_LimitPos,BOOL,,,,,M1横移正向限位(常闭0=触发),X30,
14,in_Cross_LimitNeg,BOOL,,,,,M1横移反向限位(常闭0=触发),X31,
15,in_Rot_LimitPos,BOOL,,,,,M2旋转正向限位(常闭0=触发),X32,
16,in_Rot_LimitNeg,BOOL,,,,,M2旋转反向限位(常闭0=触发),X33,
17,in_Grip_LimitPos,BOOL,,,,,夹爪正向限位(常闭0=触发),X34,
18,in_Grip_LimitNeg,BOOL,,,,,夹爪反向限位(常闭0=触发),X35,
19,in_Grip_Sensor,BOOL,,,,,夹爪物料检测,X36,
20,in_Lift_LimitPos,BOOL,,,,,M3提升正向限位(常闭0=触发),X37,
21,in_Lift_LimitNeg,BOOL,,,,,M3提升反向限位(常闭0=触发),X38,
22,in_Center_LimitPos,BOOL,,,,,M4对中正向限位(常闭0=触发),X40,
23,in_Center_LimitNeg,BOOL,,,,,M4对中反向限位(常闭0=触发),X41,
24,in_LBlock_LimitPos,BOOL,,,,,左阻挡正向限位(常闭0=触发),X42,
25,in_LBlock_LimitNeg,BOOL,,,,,左阻挡反向限位(常闭0=触发),X43,
26,in_RBlock_LimitPos,BOOL,,,,,右阻挡正向限位(常闭0=触发),X44,
27,in_RBlock_LimitNeg,BOOL,,,,,右阻挡反向限位(常闭0=触发),X45,
28,out_Light_Red,BOOL,,,,,三色灯红灯(报警),Y0,
29,out_Light_Green,BOOL,,,,,三色灯绿灯(自动),Y1,
30,out_Light_Yellow,BOOL,,,,,三色灯黄灯(手动),Y2,
31,out_Buzz,BOOL,,,,,蜂鸣器(报警),Y3,
32,out_Gripper_Reset,BOOL,,,,,夹爪步进复位输出,Y10,
33,out_Gripper_Stop,BOOL,,,,,夹爪步进停止输出,Y11,
34,out_Gripper_Path1,BOOL,,,,,夹爪步进路径1(正转),Y12,
35,out_Gripper_Path2,BOOL,,,,,夹爪步进路径2(反转),Y13,
36,out_LBlock_Reset,BOOL,,,,,左阻挡步进复位输出,Y14,
37,out_LBlock_Stop,BOOL,,,,,左阻挡步进停止输出,Y15,
38,out_LBlock_Path1,BOOL,,,,,左阻挡步进路径1,Y16,
39,out_LBlock_Path2,BOOL,,,,,左阻挡步进路径2,Y17,
40,out_RBlock_Reset,BOOL,,,,,右阻挡步进复位输出,Y20,
41,out_RBlock_Stop,BOOL,,,,,右阻挡步进停止输出,Y21,
42,out_RBlock_Path1,BOOL,,,,,右阻挡步进路径1,Y22,
43,out_RBlock_Path2,BOOL,,,,,右阻挡步进路径2,Y23,
44,out_Roller_A,BOOL,,,,,电辊筒A信号(速度档),Y30,
45,out_Roller_B,BOOL,,,,,电辊筒B信号(速度档),Y31,
46,out_Roller_Dir,BOOL,,,,,电辊筒方向(0正1反),Y32,
47,out_EStop_Reset,BOOL,,,,,急停继电器复位输出,Y40,
