序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,FwdInput,BOOL,OFF,OFF,不保持,正转启动,
2,IN,RevInput,BOOL,OFF,OFF,不保持,反转启动(与正转互锁),
3,IN,SpeedLevel,INT,0,1,不保持,速度档(1低/2中/3高),
4,IN,SpeedLow,INT,0,100,不保持,低速档百分比,
5,IN,SpeedMid,INT,0,75,不保持,中速档百分比,
6,IN,SpeedHigh,INT,0,50,不保持,高速档百分比,
7,IN,Enable,BOOL,OFF,OFF,不保持,运行许可门控,
8,IN,Reset,BOOL,OFF,OFF,不保持,故障复位,
9,OUT,FwdOut,BOOL,OFF,OFF,不保持,正转输出,
10,OUT,RevOut,BOOL,OFF,OFF,不保持,反转输出(本工程接Y11),
11,OUT,Error,BOOL,OFF,OFF,不保持,故障标志,
12,VAR,bRun,BOOL,OFF,OFF,不保持,内部运行状态,
13,VAR,iSpeed,INT,0,0,不保持,内部当前速度,
