序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,FwdInput,BOOL,,,FALSE,正转启动,
2,IN,RevInput,BOOL,,,FALSE,反转启动(与正转互锁),
3,IN,SpeedLevel,INT,,1,FALSE,速度档(1低/2中/3高),
4,IN,SpeedLow,INT,,100,FALSE,低速档百分比,
5,IN,SpeedMid,INT,,75,FALSE,中速档百分比,
6,IN,SpeedHigh,INT,,50,FALSE,高速档百分比,
7,IN,Enable,BOOL,,,FALSE,运行许可(RunOK门控),
8,IN,Reset,BOOL,,,FALSE,故障复位,
9,OUT,FwdOut,BOOL,,,FALSE,正转输出,
10,OUT,RevOut,BOOL,,,FALSE,反转输出(预留),
11,OUT,Error,BOOL,,,FALSE,故障标志,
12,VAR,bRun,BOOL,FALSE,,FALSE,内部运行状态,
13,VAR,iSpeed,INT,0,,FALSE,内部当前速度,
