序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,bEstopPressed,BOOL,FALSE,,FALSE,FALSE,急停按下状态(NOT in_eStop),,
2,bRunOK,BOOL,FALSE,,FALSE,FALSE,全局运行许可(急停OK且无锁存报警),,
3,bModeAuto,BOOL,FALSE,,FALSE,FALSE,当前模式(TRUE=自动),,
4,con_ResetCmd,BOOL,FALSE,,FALSE,FALSE,复位命令(in_Reset上升沿),,
5,con_Alarm,BOOL,FALSE,,FALSE,FALSE,报警激活(FB_AlarmLatch锁存输出),,
6,con_CylTimeout,BOOL,FALSE,,FALSE,FALSE,气缸动作超时检测(接报警锁存闭环),,
7,con_AutoStep,DINT,,0,FALSE,FALSE,自动序列步号(0待机/1阻挡输送/2放行),,
8,con_BlockUpCmd,BOOL,FALSE,,FALSE,FALSE,阻挡升起命令(手/自动互斥写入),,
9,con_RollerRunCmd,BOOL,FALSE,,FALSE,FALSE,滚筒运行命令(手/自动互斥写入),,
10,bManBlockTgl,BOOL,FALSE,,FALSE,FALSE,手动模式阻挡升降翻转状态,,
11,con_CommLost,BOOL,FALSE,,FALSE,FALSE,通讯丢失(入向心跳超时) 接RunOK联锁,,
12,con_HeartPrev,INT,,-1,FALSE,FALSE,入向心跳上次值(变化检测),,
13,con_HeartOut,INT,,0,FALSE,FALSE,出向心跳计数值,,
14,con_CycleCnt,DINT,,0,TRUE,FALSE,循环节拍计数(掉电保持),,
