序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,host_Rcv_Mode,INT,,0,TRUE,TRUE,上报 当前模式 0手动/1自动,D0,
2,host_Rcv_Estop,INT,,0,TRUE,TRUE,上报 急停 0释放/1按下,D1,
3,host_Rcv_Alarm,INT,,0,TRUE,TRUE,上报 报警 0无/1锁存报警,D2,
4,host_Rcv_Running,INT,,0,TRUE,TRUE,上报 滚筒 0停/1运行,D3,
5,host_Rcv_BlockUp,INT,,0,TRUE,TRUE,上报 阻挡 0降/1升(磁开),D4,
6,host_Rcv_AutoStep,INT,,0,TRUE,TRUE,上报 自动步号 0/1/2,D5,
7,host_Rcv_CycleCnt,DINT,,0,TRUE,TRUE,上报 循环节拍计数(占D36-D37双字),D6,
8,host_Rcv_HeartOut,INT,,0,TRUE,TRUE,上报 出向心跳(PLC每1000ms自增),D8,
9,host_Send_RollerFwd,INT,,0,TRUE,TRUE,命令 滚筒正转 =1触发,D20,
10,host_Send_RollerStop,INT,,0,TRUE,TRUE,命令 滚筒停止 =1触发,D21,
11,host_Send_BlockUp,INT,,0,TRUE,TRUE,命令 阻挡上升 =1触发,D22,
12,host_Send_BlockDn,INT,,0,TRUE,TRUE,命令 阻挡下降 =1触发,D23,
13,host_Send_AlarmReset,INT,,0,TRUE,TRUE,命令 报警复位 =1触发,D24,
14,host_Send_Heart,INT,,0,TRUE,TRUE,命令 入向心跳(上位机周期变值),D25,
