序号,变量名,数据类型,隐藏初始值,初始值,注释
1,Latch_Alarm,FB_AlarmLatch,,,故障锁存实例
2,Latch_Alarm.FaultSrc,BOOL,FALSE,,成员 故障源输入(电平)
3,Latch_Alarm.ResetCmd,BOOL,FALSE,,成员 复位命令(上升沿)
4,Latch_Alarm.AlarmOut,BOOL,FALSE,,成员 报警锁存输出
5,Roller_1,FB_Roller,,,滚筒驱动实例
6,r_ResetBtn,TRIG.R_TRIG,,,复位按钮上升沿检测
7,r_ResetBtn.CLK,BOOL,FALSE,,成员 输入
8,r_ResetBtn.Q,BOOL,FALSE,,成员 上升沿输出
9,r_ResetBtn.M,BOOL,FALSE,,成员 内部记忆位
10,r_ManBlock,TRIG.R_TRIG,,,手动阻挡切换边沿检测
11,r_ManBlock.CLK,BOOL,FALSE,,成员 输入
12,r_ManBlock.Q,BOOL,FALSE,,成员 上升沿输出
13,r_ManBlock.M,BOOL,FALSE,,成员 内部记忆位
14,ton_BlockHold,TON,,,自动步1 阻挡保持计时
15,ton_BlockHold.IN,BOOL,FALSE,,成员 输入
16,ton_BlockHold.PT,DINT,,,成员 设定时间(ms) ST中传BLOCK_HOLD_TIME
17,ton_BlockHold.Q,BOOL,FALSE,,成员 到时输出
18,ton_BlockHold.ET,DINT,0,,成员 已计时值
19,ton_PassTime,TON,,,自动步2 放行计时
20,ton_PassTime.IN,BOOL,FALSE,,成员 输入
21,ton_PassTime.PT,DINT,,,成员 设定时间(ms) ST中传BLOCK_PASS_TIME
22,ton_PassTime.Q,BOOL,FALSE,,成员 到时输出
23,ton_PassTime.ET,DINT,0,,成员 已计时值
24,ton_CylWatch,TON,,,气缸到位看门狗
25,ton_CylWatch.IN,BOOL,FALSE,,成员 输入
26,ton_CylWatch.PT,DINT,,,成员 设定时间(ms) ST中传CYL_TIMEOUT
27,ton_CylWatch.Q,BOOL,FALSE,,成员 超时输出
28,ton_CylWatch.ET,DINT,0,,成员 已计时值
29,r_HostReset,TRIG.R_TRIG,,,远程报警复位边沿
30,r_HostReset.CLK,BOOL,FALSE,,成员 输入
31,r_HostReset.Q,BOOL,FALSE,,成员 上升沿输出
32,r_HostReset.M,BOOL,FALSE,,成员 内部记忆位
33,ton_HeartTick,TON,,,出向心跳自增节拍
34,ton_HeartTick.IN,BOOL,FALSE,,成员 输入
35,ton_HeartTick.PT,DINT,,,成员 设定时间(ms)=COMM_HEART_TICK
36,ton_HeartTick.Q,BOOL,FALSE,,成员 到时输出
37,ton_HeartTick.ET,DINT,0,,成员 已计时值
38,ton_CommWatch,TON,,,入向心跳超时看门狗
39,ton_CommWatch.IN,BOOL,FALSE,,成员 输入
40,ton_CommWatch.PT,DINT,,,成员 设定时间(ms)=COMM_HEART_TIMEOUT
41,ton_CommWatch.Q,BOOL,FALSE,,成员 超时输出
42,ton_CommWatch.ET,DINT,0,,成员 已计时值
