服务器读写,通讯字名称,Mobus地址,服务器地址,功能示意
服务器读,手自动模式,40001,0,当前模式: 0为手动 1为自动(旋钮X2状态)
,急停状态,40002,1,急停: 0为释放(安全) 1为按下(按下时RunOK切断全部输出)
,设备报警,40003,2,"报警: 0无 1有(锁存报警, 需故障源消除+复位)"
,滚筒运行,40004,3,滚筒: 0停止 1运行(Y0实际输出反馈)
,阻挡状态,40005,4,阻挡: 0下降位 1上升位(X3上位磁开反馈)
,自动步号,40006,5,自动流程: 0待机 1阻挡输送 2放行(仅自动模式流转)
,循环节拍计数,40007,6,DINT占双字(2寄存器): 自动模式每完成一次放行自动+1
,出向心跳,40009,8,PLC每1000ms自增1: 上位机据此监测PLC存活
服务器写,滚筒电机_正转,40021,20,"手动模式写1正转, 其他值无效; 发停止命令或异常后PLC清0回执"
,滚筒电机_停止,40022,21,"写1停止滚筒(优先级高于正转), 执行后PLC清0回执"
,阻挡气缸_上升,40023,22,"手动模式写1升起, PLC读到上位磁开后清0回执; 与下降不可同时写"
,阻挡气缸_下降,40024,23,"手动模式写1下降, PLC读到下位磁开后清0回执; 与上升不可同时写"
,报警复位,40025,24,"写1触发复位(故障源须已消除), 完成后PLC清0回执"
,入向心跳,40026,25,上位机周期改变其值(建议自增); PLC超时3s未见变化判通讯丢失并切断输出
