序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,bEstopPressed,BOOL,FALSE,,FALSE,FALSE,急停按下状态(NOT in_eStop 取反),,
2,con_AlarmWord,DINT,,0,FALSE,FALSE,报警字位编码(bit0急停/bit1气缸超时/bit2断讯; 0=无; 上报host须TO_INT),,
3,bRunOK,BOOL,FALSE,,FALSE,FALSE,运行许可(=报警字全零),,
4,con_EstopActive,BOOL,FALSE,,FALSE,FALSE,急停活跃标志(按下或锁存 命令注销门控 防释放后自恢复),,
5,bRemoteEn,BOOL,FALSE,,FALSE,FALSE,远程控制允许(=bRunOK且自动位),,
6,bModeAuto,BOOL,,FALSE,FALSE,FALSE,当前模式(TRUE=自动位),,
7,con_ResetCmd,BOOL,FALSE,,FALSE,FALSE,复位命令(本地+远程边沿合并),,
8,con_CommLost,BOOL,FALSE,,FALSE,FALSE,通讯丢失(看门狗Q 心跳恢复自动清除),,
9,bHeartChanged,BOOL,FALSE,,FALSE,FALSE,入向心跳本拍变化标志,,
10,bHeartTiming,BOOL,FALSE,,FALSE,FALSE,看门狗计时允许(变化拍断IN重启),,
11,con_HeartPrev,INT,,-1,FALSE,FALSE,入向心跳上次值(初值-1),,
12,con_HeartOut,INT,,0,FALSE,FALSE,出向心跳计数值(每秒+1),,
13,con_HeartTickQ,BOOL,FALSE,,FALSE,FALSE,心跳节拍TONR输出(IN取反自翻转),,
14,con_CylTimeout,BOOL,FALSE,,FALSE,FALSE,气缸到位超时(悬挂且计时到 接锁存闭环),,
15,bCylPending,BOOL,FALSE,,FALSE,FALSE,阀命令悬挂未到位(看门狗计时中),,
16,bCylWatchQ,BOOL,FALSE,,FALSE,FALSE,气缸看门狗TONR输出,,
17,con_CylCmd,INT,,0,FALSE,FALSE,阀命令(0=无/1=升/2=降),,
18,bCylPos,INT,,0,TRUE,FALSE,阀位记忆(0=未知/1=升位/2=降位 以磁开为准),,
19,bCylUpOn,BOOL,FALSE,,FALSE,FALSE,升线圈输出中(保持至磁开到位),,
20,bCylDnOn,BOOL,FALSE,,FALSE,FALSE,降线圈输出中(保持至磁开到位),,
21,bRollerRun,BOOL,FALSE,,FALSE,FALSE,辊筒正转命令(上位机触发记忆),,
22,bRollerRev,BOOL,FALSE,,FALSE,FALSE,辊筒反转命令(与正转互斥),,
23,bDrvRstPulse,BOOL,FALSE,,FALSE,FALSE,CLR复位端子脉冲中标志,,
24,bDrvRstHold,BOOL,FALSE,,FALSE,FALSE,CLR复位保持(触发沿置位 到时清除),,
25,bDrvRstEnd,BOOL,FALSE,,FALSE,FALSE,CLR复位脉冲完成TONR输出,,
26,con_SpeedTarget,INT,,0,TRUE,FALSE,辊筒目标转速(1RPM 0~3000 上位机下发),,
27,con_SpeedLast,INT,,-1,FALSE,FALSE,已成功写入驱动的转速(变化检测 初值-1),,
28,bRtuReq,BOOL,FALSE,,FALSE,FALSE,RS485待发送请求(转速变化置位),,
29,dwRtuDataAddr,DINT,,0,FALSE,FALSE,MB_Master目标寄存器地址(指令实参须直接变量),,
30,con_RTUBuf,INT[128],,,FALSE,FALSE,RS485收发缓冲区(写单字取[0]),,
31,bRtuDone,BOOL,FALSE,,FALSE,FALSE,MB_Master完成标志,,
32,bRtuBusy,BOOL,FALSE,,FALSE,FALSE,MB_Master执行中,,
33,bRtuError,BOOL,FALSE,,FALSE,FALSE,MB_Master错误标志,,
34,dwRtuErrID,DINT,,0,FALSE,FALSE,MB_Master错误码,,
