序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,host_Rcv_Mode,INT,,0,TRUE,TRUE,上报 模式 0手动/1自动,D0,
2,host_Rcv_Estop,INT,,0,TRUE,TRUE,上报 急停 0释放/1按下,D1,
3,host_Rcv_Ready,INT,,0,TRUE,TRUE,上报 就绪(RunOK) 0否/1是,D2,
4,host_Rcv_Running,INT,,0,TRUE,TRUE,上报 辊筒 0停/1正转(Y10),D3,
5,host_Rcv_RevRun,INT,,0,TRUE,TRUE,上报 辊筒反转 0否/1(Y11),D4,
6,host_Rcv_CylUp,INT,,0,TRUE,TRUE,上报 阻挡升到位(磁开),D5,
7,host_Rcv_CylDn,INT,,0,TRUE,TRUE,上报 阻挡降到位(磁开),D6,
8,host_Rcv_AlmCyl,INT,,0,TRUE,TRUE,上报 气缸超时报警 0无/1有,D7,
9,host_Rcv_SnsPos1,INT,,0,TRUE,TRUE,上报 位置检测1(进料段),D8,
10,host_Rcv_SnsPos2,INT,,0,TRUE,TRUE,上报 位置检测2(中段),D9,
11,host_Rcv_SnsPos3,INT,,0,TRUE,TRUE,上报 位置检测3(出料段),D10,
12,host_Rcv_Speed,INT,,0,TRUE,TRUE,上报 当前目标转速(1RPM 0~3000),D11,
13,host_Rcv_HeartOut,INT,,0,TRUE,TRUE,上报 出向心跳(每秒自增),D12,
14,host_Rcv_AlarmWord,INT,,0,TRUE,TRUE,上报 报警字(bit0急停/bit1气缸超时/bit2断讯) 0=无报警,D13,
15,host_Send_RollerStart,INT,,0,TRUE,TRUE,命令 辊筒正转 =1触发,D20,
16,host_Send_RollerStop,INT,,0,TRUE,TRUE,命令 辊筒停止 =1触发,D21,
17,host_Send_RollerRev,INT,,0,TRUE,TRUE,命令 辊筒反转 =1触发 与正转互斥,D22,
18,host_Send_CylUp,INT,,0,TRUE,TRUE,命令 阻挡升起 =1触发,D23,
19,host_Send_CylDn,INT,,0,TRUE,TRUE,命令 阻挡下降 =1触发,D24,
20,host_Send_EstopReset,INT,,0,TRUE,TRUE,命令 报警/急停锁存解除 =1触发,D25,
21,host_Send_DrvReset,INT,,0,TRUE,TRUE,命令 驱动器CLR复位 =1触发 端子脉冲,D26,
22,host_Send_RollerSpeed,INT,,0,TRUE,TRUE,命令 辊筒转速(1RPM 0~3000) RS485唯一用途,D27,
23,host_Send_Heart,INT,,0,TRUE,TRUE,命令 入向心跳(周期变值),D28,
