序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,in_eStop,BOOL,FALSE,,FALSE,TRUE,急停输入(TRUE=释放 安全态),X0,
2,in_Reset,BOOL,FALSE,,FALSE,TRUE,复位按钮(急停锁存解除),X1,
3,in_ModeAuto,BOOL,FALSE,,FALSE,TRUE,手自动旋钮(TRUE=自动位),X2,
4,in_Pos1Sns,BOOL,FALSE,,FALSE,TRUE,位置检测1(进料段),X3,
5,in_Pos2Sns,BOOL,FALSE,,FALSE,TRUE,位置检测2(中段),X4,
6,in_Pos3Sns,BOOL,FALSE,,FALSE,TRUE,位置检测3(出料段),X5,
7,in_CylUpSns,BOOL,FALSE,,FALSE,TRUE,阻挡升到位磁开,X6,
8,in_CylDnSns,BOOL,FALSE,,FALSE,TRUE,阻挡降到位磁开,X7,
9,out_LampYellow,BOOL,FALSE,,FALSE,TRUE,三色灯黄(手动位),Y0,
10,out_LampGreen,BOOL,FALSE,,FALSE,TRUE,三色灯绿(自动位),Y1,
11,out_LampRed,BOOL,FALSE,,FALSE,TRUE,三色灯红(报警),Y2,
12,out_Buzzer,BOOL,FALSE,,FALSE,TRUE,蜂鸣器(报警随动),Y3,
13,out_AutoModeSw,BOOL,FALSE,,FALSE,TRUE,手自动切换继电器(跟随旋钮),Y4,
14,out_CylUp,BOOL,FALSE,,FALSE,TRUE,电磁阀升线圈(保持至到位),Y5,
15,out_CylDn,BOOL,FALSE,,FALSE,TRUE,电磁阀降线圈(保持至到位),Y6,
16,out_RollerFwd,BOOL,FALSE,,FALSE,TRUE,C20正转端子FWD(断开即停),Y10,
17,out_RollerRev,BOOL,FALSE,,FALSE,TRUE,C20反转端子REV(与FWD互斥),Y11,
18,out_RollerRst,BOOL,FALSE,,FALSE,TRUE,C20故障复位端子CLR(脉冲),Y12,
