服务器读写,通讯字名称,Mobus地址,服务器地址,功能示意
服务器读,手自动模式,40001,0,0为手动位(远程命令无效) 1为自动位(远程命令生效)
,急停状态,40002,1,0为释放 1为按下锁存(需复位解除)
,设备就绪,40003,2,RunOK: 0未就绪 1就绪
,辊筒正转运行,40004,3,0停止 1正转中(Y10)
,辊筒反转运行,40005,4,0否 1反转中(Y11)
,阻挡升到位,40006,5,磁开X6: 0未到位 1升到位
,阻挡降到位,40007,6,磁开X7: 0未到位 1降到位
,气缸超时报警,40008,7,0无 1有(锁存 需复位解除)
,位置检测1,40009,8,进料段光电X3: 有料1 无料0
,位置检测2,40010,9,中段光电X4: 有料1 无料0
,位置检测3,40011,10,出料段光电X5: 有料1 无料0
,当前目标速度,40012,11,单位1RPM整数 PLC已缓存待发/已发的目标值
,出向心跳,40013,12,PLC每1000ms自增1 上位机据此监测PLC存活
服务器写,辊筒正转启动,40021,20,自动位写1启动正转 PLC置位后清0回执; 与停止/反转互斥
,辊筒停止,40022,21,写1停止辊筒(正反转均停) 执行后PLC清0回执
,辊筒反转,40023,22,自动位写1反转 与正转互斥 PLC置位后清0回执
,阻挡升起,40024,23,自动位写1 升线圈保持至升到位磁开; 与下降互斥
,阻挡下降,40025,24,自动位写1 降线圈保持至降到位磁开; 与升起互斥
,报警复位,40026,25,写1解除急停/气缸超时锁存(须故障源已消除) 完成后清0回执
,驱动器复位,40027,26,写1 触发Y12复位端子500ms脉冲(驱动器故障复位) 完成后清0回执
,辊筒速度设定,40028,27,自动位下发 有效0~3000(单位1RPM) 变化时经RS485写入驱动器2001H
,入向心跳,40029,28,上位机周期改变其值(建议自增); PLC超时3s判通讯丢失并切断输出
