板块,序号,采集项,填写内容,填写说明/示例
设备概览,1,项目名称,,必填
设备概览,2,设备名称,,必填
设备概览,3,设备用途（做什么产品/工艺）,,必填
设备概览,4,加工节拍要求,,可选
工艺流程,5,工序1,,按进料→动作→出料顺序填写
工艺流程,6,工序2,,
工艺流程,7,工序3,,
工艺流程,8,工序4,,
动作对象,9,名称,,
动作对象,10,类型,,伺服/步进/气缸/电辊筒/变频器
动作对象,11,作用,,
动作对象,12,控制要求,,
伺服轴,13,轴名称,,
伺服轴,14,行程/范围,,
伺服轴,15,速度,,
伺服轴,16,加减速,,
伺服轴,17,定位方式,,绝对/相对
伺服轴,18,回零方式,,
步进/气缸/辊筒,19,对象名称,,
步进/气缸/辊筒,20,动作（正/反/夹紧/松开等）,,
步进/气缸/辊筒,21,限位/到位检测,,
步进/气缸/辊筒,22,定时动作时长,,
IO-输入,23,地址,,X0/X1...
IO-输入,24,信号名,,
IO-输入,25,类型,,按钮/传感器/限位/故障
IO-输入,26,常开/常闭,,
IO-输入,27,说明,,
IO-输出,28,地址,,Y0/Y1...
IO-输出,29,信号名,,
IO-输出,30,类型,,电机/阀/指示灯/蜂鸣
IO-输出,31,说明,,
模拟量,32,地址,,AI/AO
模拟量,33,信号,,
模拟量,34,量程,,
模拟量,35,用途,,
控制模式,36,手动模式,,点动/回零/单步
控制模式,37,自动模式,,连续/单周期
控制模式,38,回零前置要求,,哪些轴需回零才能自动
控制模式,39,位置号/配方,,工艺参数表
HMI,40,触摸屏型号,,
HMI,41,主要页面,,主控/参数/报警/手动
HMI,42,需设定参数,,速度/位置/时间
HMI,43,需显示状态,,
通讯,44,协议,,Modbus TCP/RTU/EtherNet/IP
通讯,45,是否需心跳看门狗,,入/出向心跳寄存器
通讯,46,上位机命令寄存器,,启动/定位/回零
通讯,47,上位机状态寄存器,,位置/完成/报警
通讯,48,通讯断开行为,,停机/保持
安全,49,急停,,常闭/常开,是否需复位脉冲
安全,50,安全门,,
安全,51,安全等级,,是否需要安全PLC/双回路
安全,52,安全联锁要求,,故障→停机→复位上升沿
安全,53,指示灯/蜂鸣器逻辑,,
硬件,54,PLC型号,,AM/H5U/H3U
硬件,55,轴控方案,,EtherCAT/脉冲
硬件,56,供电/电气柜环境,,
硬件,57,其它,,编码器/变频器等
